Date,Underlying,C165,C170,C185,C190,C205,P165,P170,P185,P190,P205
2025-08-12,183.16,22.28,18.3,9.57,7.3,2.83,3.51,4.69,10.45,13.22,25.6
2025-08-13,181.59,21.5,17.3,9.0,6.86,2.69,4.08,5.42,11.52,14.98,
2025-08-14,182.02,21.65,17.94,9.08,6.88,2.74,3.72,5.0,11.1,13.96,
2025-08-15,180.45,20.23,16.63,8.1,6.2,2.34,4.25,5.51,11.9,15.3,27.7
2025-08-18,182.01,21.45,17.45,8.3,6.21,2.29,3.25,4.5,10.35,13.33,24.45
2025-08-19,175.64,16.58,13.35,5.85,4.25,1.58,5.11,6.8,14.05,17.05,30.0
2025-08-20,175.4,16.3,13.1,5.75,4.15,1.52,5.15,6.9,15.07,18.06,32.75
2025-08-21,174.98,16,12.68,5.6,4.1,1.49,5.36,7.05,15,18.58,31.03
2025-08-22,177.99,17.95,14.4,6.53,4.78,1.79,4.26,5.75,13,16.3,28.1
2025-08-25,179.81,19.68,15.5,7.2,5.35,2.0,3.65,4.95,11.1,13.7,25.49
2025-08-26,181.77,20.7,16.92,8.06,5.95,2.18,3.25,4.48,10.6,13.48,25.67
2025-08-27,181.6,20.3,16.55,7.75,5.73,2.04,3.06,4.31,10.6,13.45,25.15
2025-08-28,180.17,18.1,13.72,4.65,2.93,0.71,1.78,2.8,8.8,12.13,24.7
2025-08-29,174.18,12.7,9.1,2.64,1.59,0.39,3.05,4.64,13,17.6,30.27
2025-09-02,170.78,10.15,7.05,1.62,0.93,0.21,3.8,5.75,15.15,19.75,36.0
2025-09-03,170.62,9.47,6.5,1.33,0.75,0.18,3.59,5.45,16.5,19,
2025-09-04,171.66,10,6.7,1.25,0.67,0.13,2.82,4.5,14.9,18.75,33.95
2025-09-05,167.02,6.75,4.2,0.69,0.37,0.12,4.45,6.81,18.5,23.3,37.5
2025-09-08,168.31,7.29,4.45,0.64,0.34,0.09,3.51,5.7,16.31,20.5,
2025-09-09,170.76,8.85,5.55,0.83,0.41,0.08,2.57,4.3,14.7,20.15,35.65
2025-09-10,177.33,14,10.04,2.14,1.1,0.18,1.3,2.25,9.4,13.6,28.6
2025-09-11,177.17,13.6,9.55,1.7,0.8,0.14,1.0,1.87,9.25,13.55,
2025-09-12,177.82,13.92,9.75,1.59,0.72,0.11,0.81,1.53,8.45,12.89,
2025-09-15,177.75,13.75,9.55,1.47,0.63,0.09,0.82,1.5,8.57,12.75,
2025-09-16,174.88,11.35,7.26,0.93,0.42,0.08,1.15,2.19,10.76,15.15,
2025-09-17,170.29,7.4,4.2,0.37,0.19,0.05,1.92,3.65,14.9,19.5,34.25
2025-09-18,176.24,12.15,7.89,0.76,0.29,0.06,0.66,1.37,9.3,13.65,27.95
2025-09-19,176.67,12.2,7.75,0.49,0.15,0.03,0.5,1.02,8.68,13.4,28.81
2025-09-22,183.61,18.95,14.07,2.75,1.22,0.11,0.2,0.35,4.05,7.45,21.43
2025-09-23,178.43,13.77,9.04,0.6,0.19,0.02,0.21,0.45,7.07,11.64,26.45
2025-09-24,176.97,12.09,7.35,0.14,0.07,0.01,0.13,0.31,8.33,13.14,28.0
2025-09-25,177.69,12.74,7.79,0.06,0.02,0.01,0.07,0.1,7.4,12.4,27.45
2025-09-26,178.19,13.15,8.2,0.01,0.01,0.01,0.01,0.01,6.86,12,27.35
