maturity,interval_days,strike_type,brokerage_fee,mse,iterations
2025-9-12,1,ATM,0.0,0.3540448266898389,31
2025-9-12,1,ATM,0.02,0.39374610592111,31
2025-9-19,1,ATM,0.0,0.2624016256017965,33
2025-9-19,1,ATM,0.02,0.2990764732800169,33
2025-9-26,1,ATM,0.0,0.3051578763476045,33
2025-9-26,1,ATM,0.02,0.4197844015890918,33
2025-10-10,1,ATM,0.0,0.21011352073156456,31
2025-10-10,1,ATM,0.02,0.7446343800252724,31
2025-10-17,1,ATM,0.0,0.14224661580284503,34
2025-10-17,1,ATM,0.02,0.20163475269020512,34
2025-10-24,1,ATM,0.0,0.16868210596829653,34
2025-10-24,1,ATM,0.02,0.22663831065444717,34
2025-10-31,1,ATM,0.0,0.2254674813355051,34
2025-10-31,1,ATM,0.02,0.263568517122865,34
2025-11-14,1,ATM,0.0,0.44337123751568985,32
2025-11-14,1,ATM,0.02,0.9492311492758188,32
2025-11-21,1,ATM,0.0,0.5209477307327764,34
2025-11-21,1,ATM,0.02,0.6682158103568375,34
2025-11-28,1,ATM,0.0,0.3333358195648919,33
2025-11-28,1,ATM,0.02,0.4362431834633733,33
2025-9-12,1,OTM,0.0,0.3462198112916611,31
2025-9-12,1,OTM,0.02,0.396973837478367,31
2025-9-19,1,OTM,0.0,0.16524058261427935,33
2025-9-19,1,OTM,0.02,0.20818105607792345,33
2025-9-26,1,OTM,0.0,0.11721710470917342,33
2025-9-26,1,OTM,0.02,0.15754359057980322,33
2025-10-10,1,OTM,0.0,0.13142211485223151,31
2025-10-10,1,OTM,0.02,0.16468627447972128,31
2025-10-17,1,OTM,0.0,0.104878981288577,34
2025-10-17,1,OTM,0.02,0.13658976855344232,34
2025-10-24,1,OTM,0.0,0.2196967904557761,34
2025-10-24,1,OTM,0.02,0.2594366505035475,34
2025-10-31,1,OTM,0.0,0.6688795139876386,34
2025-10-31,1,OTM,0.02,0.7077175745943882,34
2025-11-14,1,OTM,0.0,0.5383712894993136,32
2025-11-14,1,OTM,0.02,0.5636061249190106,32
2025-11-21,1,OTM,0.0,0.43619364479598205,34
2025-11-21,1,OTM,0.02,0.4833216186841785,34
2025-11-28,1,OTM,0.0,1.0918228563865635,33
2025-11-28,1,OTM,0.02,1.1633779941466036,33
2025-9-12,1,ITM,0.0,0.2580069626398779,31
2025-9-12,1,ITM,0.02,0.28656009007487754,31
2025-9-19,1,ITM,0.0,0.22097808027064364,33
2025-9-19,1,ITM,0.02,0.2424414982562056,33
2025-9-26,1,ITM,0.0,0.22485618469955096,33
2025-9-26,1,ITM,0.02,0.27682849673708365,33
2025-10-10,1,ITM,0.0,0.515033286924168,31
2025-10-10,1,ITM,0.02,0.8820276066155674,31
2025-10-17,1,ITM,0.0,0.3253857543844923,34
2025-10-17,1,ITM,0.02,0.47252391381783365,34
2025-10-24,1,ITM,0.0,0.2993722129762345,34
2025-10-24,1,ITM,0.02,0.4008279337781379,34
2025-10-31,1,ITM,0.0,0.3772102822232461,34
2025-10-31,1,ITM,0.02,0.5053572034607491,34
2025-11-14,1,ITM,0.0,0.44337123751568985,32
2025-11-14,1,ITM,0.02,0.9492311492758188,32
2025-11-21,1,ITM,0.0,0.37858286711561734,34
2025-11-21,1,ITM,0.02,0.5248962837457819,34
2025-11-28,1,ITM,0.0,0.3183300647060406,33
2025-11-28,1,ITM,0.02,0.41338266318354355,33
2025-9-12,2,ATM,0.0,0.7560218620559334,16
2025-9-12,2,ATM,0.02,0.8537694464279215,16
2025-9-19,2,ATM,0.0,0.5617549161069252,17
2025-9-19,2,ATM,0.02,0.6625599411951483,17
2025-9-26,2,ATM,0.0,0.7774993850092644,17
2025-9-26,2,ATM,0.02,0.8805916273431024,17
2025-10-10,2,ATM,0.0,0.5328630025336415,16
2025-10-10,2,ATM,0.02,0.8517231692937862,16
2025-10-17,2,ATM,0.0,0.3587586043687937,18
2025-10-17,2,ATM,0.02,0.4509391252115654,18
2025-10-24,2,ATM,0.0,0.29760759709350754,18
2025-10-24,2,ATM,0.02,0.3821266804495051,18
2025-10-31,2,ATM,0.0,0.5267714499695466,18
2025-10-31,2,ATM,0.02,0.5842658486710629,18
2025-11-14,2,ATM,0.0,1.6443564536999642,17
2025-11-14,2,ATM,0.02,2.074358226304457,17
2025-11-21,2,ATM,0.0,1.1092276334442386,18
2025-11-21,2,ATM,0.02,1.4489715328065051,18
2025-11-28,2,ATM,0.0,1.1119196198823857,17
2025-11-28,2,ATM,0.02,1.3138850920420233,17
2025-9-12,2,OTM,0.0,0.6734626770133322,16
2025-9-12,2,OTM,0.02,0.7517130736607474,16
2025-9-19,2,OTM,0.0,0.4014797023329474,17
2025-9-19,2,OTM,0.02,0.48442325306098694,17
2025-9-26,2,OTM,0.0,0.249534212485434,17
2025-9-26,2,OTM,0.02,0.3485163056263158,17
2025-10-10,2,OTM,0.0,0.28052798028225395,16
2025-10-10,2,OTM,0.02,0.36827972692890987,16
2025-10-17,2,OTM,0.0,0.20363750131564148,18
2025-10-17,2,OTM,0.02,0.2620361685187893,18
2025-10-24,2,OTM,0.0,0.5053300050037444,18
2025-10-24,2,OTM,0.02,0.5704322326833757,18
2025-10-31,2,OTM,0.0,1.5085640664058668,18
2025-10-31,2,OTM,0.02,1.5482704203729034,18
2025-11-14,2,OTM,0.0,1.2408140207983052,17
2025-11-14,2,OTM,0.02,1.2764549450537928,17
2025-11-21,2,OTM,0.0,0.8262368134513074,18
2025-11-21,2,OTM,0.02,0.8580029338644176,18
2025-11-28,2,OTM,0.0,2.542457759771755,17
2025-11-28,2,OTM,0.02,2.656744258602426,17
2025-9-12,2,ITM,0.0,0.6137456125338844,16
2025-9-12,2,ITM,0.02,0.6909558064409362,16
2025-9-19,2,ITM,0.0,0.4556854696253293,17
2025-9-19,2,ITM,0.02,0.5137059298635145,17
2025-9-26,2,ITM,0.0,0.5336910947579024,17
2025-9-26,2,ITM,0.02,0.5923167036622449,17
2025-10-10,2,ITM,0.0,1.127784727369326,16
2025-10-10,2,ITM,0.02,1.4711429964680225,16
2025-10-17,2,ITM,0.0,1.044309781221067,18
2025-10-17,2,ITM,0.02,1.2912627639635665,18
2025-10-24,2,ITM,0.0,0.41032780911007327,18
2025-10-24,2,ITM,0.02,0.5460034965742689,18
2025-10-31,2,ITM,0.0,1.2484437723267665,18
2025-10-31,2,ITM,0.02,1.5569410770614833,18
2025-11-14,2,ITM,0.0,1.6443564536999642,17
2025-11-14,2,ITM,0.02,2.074358226304457,17
2025-11-21,2,ITM,0.0,0.8856403129843825,18
2025-11-21,2,ITM,0.02,1.1584897901986688,18
2025-11-28,2,ITM,0.0,0.9943942234758676,17
2025-11-28,2,ITM,0.02,1.1849001566902366,17
2025-9-12,7,ATM,0.0,2.4757894660283615,6
2025-9-12,7,ATM,0.02,2.76011648582402,6
2025-9-19,7,ATM,0.0,2.6866763473687527,6
2025-9-19,7,ATM,0.02,3.054123349066823,6
2025-9-26,7,ATM,0.0,2.3024997537826977,6
2025-9-26,7,ATM,0.02,2.4914700549432234,6
2025-10-10,7,ATM,0.0,2.0757353344053504,6
2025-10-10,7,ATM,0.02,2.75376940934828,6
2025-10-17,7,ATM,0.0,0.9348957190095011,6
2025-10-17,7,ATM,0.02,1.0909845296460046,6
2025-10-24,7,ATM,0.0,1.5478150779565394,6
2025-10-24,7,ATM,0.02,1.7202150913938006,6
2025-10-31,7,ATM,0.0,2.3937625826146514,6
2025-10-31,7,ATM,0.02,2.5826301443857074,6
2025-11-14,7,ATM,0.0,11.99652457569605,6
2025-11-14,7,ATM,0.02,12.925964674301781,6
2025-11-21,7,ATM,0.0,4.561936077059434,6
2025-11-21,7,ATM,0.02,4.868379695977739,6
2025-11-28,7,ATM,0.0,6.001964642223968,6
2025-11-28,7,ATM,0.02,6.292371018233047,6
2025-9-12,7,OTM,0.0,2.7237122762087704,6
2025-9-12,7,OTM,0.02,2.9490063173970853,6
2025-9-19,7,OTM,0.0,1.7460045839051808,6
2025-9-19,7,OTM,0.02,2.0807135493904623,6
2025-9-26,7,OTM,0.0,1.0712054580444625,6
2025-9-26,7,OTM,0.02,1.1949004697033563,6
2025-10-10,7,OTM,0.0,0.8824348927095867,6
2025-10-10,7,OTM,0.02,0.9544304551775689,6
2025-10-17,7,OTM,0.0,0.73827296625568,6
2025-10-17,7,OTM,0.02,0.8490507345055016,6
2025-10-24,7,OTM,0.0,1.769852561054854,6
2025-10-24,7,OTM,0.02,1.853624707790494,6
2025-10-31,7,OTM,0.0,5.1162454292459865,6
2025-10-31,7,OTM,0.02,5.2379028860877765,6
2025-11-14,7,OTM,0.0,4.660453923135178,6
2025-11-14,7,OTM,0.02,4.747964227092536,6
2025-11-21,7,OTM,0.0,3.2110817170646877,6
2025-11-21,7,OTM,0.02,3.299664579012206,6
2025-11-28,7,OTM,0.0,6.37897934827675,6
2025-11-28,7,OTM,0.02,6.4940968375807575,6
2025-9-12,7,ITM,0.0,1.9136663239613678,6
2025-9-12,7,ITM,0.02,2.1274615660454055,6
2025-9-19,7,ITM,0.0,2.354806186302867,6
2025-9-19,7,ITM,0.02,2.6193644876107802,6
2025-9-26,7,ITM,0.0,1.7261324310846735,6
2025-9-26,7,ITM,0.02,1.8805394264932702,6
2025-10-10,7,ITM,0.0,3.736395007733887,6
2025-10-10,7,ITM,0.02,4.216302410977924,6
2025-10-17,7,ITM,0.0,2.478627281208799,6
2025-10-17,7,ITM,0.02,2.6314672365165173,6
2025-10-24,7,ITM,0.0,4.208928544590258,6
2025-10-24,7,ITM,0.02,4.883616138200212,6
2025-10-31,7,ITM,0.0,4.596575013610935,6
2025-10-31,7,ITM,0.02,4.852172914185126,6
2025-11-14,7,ITM,0.0,11.99652457569605,6
2025-11-14,7,ITM,0.02,12.925964674301781,6
2025-11-21,7,ITM,0.0,3.7445269200839717,6
2025-11-21,7,ITM,0.02,4.104475779002884,6
2025-11-28,7,ITM,0.0,5.409436419487569,6
2025-11-28,7,ITM,0.02,5.875795405650931,6
2025-9-12,10,ATM,0.0,4.499852462282239,4
2025-9-12,10,ATM,0.02,4.851660487040825,4
2025-9-19,10,ATM,0.0,2.440026140630034,5
2025-9-19,10,ATM,0.02,2.661878668778097,5
2025-9-26,10,ATM,0.0,4.854508763245493,5
2025-9-26,10,ATM,0.02,5.165349472379788,5
2025-10-10,10,ATM,0.0,7.664280174494013,4
2025-10-10,10,ATM,0.02,7.73678668334338,4
2025-10-17,10,ATM,0.0,2.900739470995808,5
2025-10-17,10,ATM,0.02,3.262276273853593,5
2025-10-24,10,ATM,0.0,1.587179773753918,5
2025-10-24,10,ATM,0.02,1.8071368027741734,5
2025-10-31,10,ATM,0.0,5.444647759818413,5
2025-10-31,10,ATM,0.02,6.052723162878659,5
2025-11-14,10,ATM,0.0,11.683195984274168,5
2025-11-14,10,ATM,0.02,12.463231416651949,5
2025-11-21,10,ATM,0.0,12.353791615233261,5
2025-11-21,10,ATM,0.02,12.743873885197873,5
2025-11-28,10,ATM,0.0,9.67304655607849,5
2025-11-28,10,ATM,0.02,11.286935812216132,5
2025-9-12,10,OTM,0.0,3.6749079675110266,4
2025-9-12,10,OTM,0.02,3.7543916807698694,4
2025-9-19,10,OTM,0.0,2.2026327571744337,5
2025-9-19,10,OTM,0.02,2.355907329533817,5
2025-9-26,10,OTM,0.0,1.3202941198464082,5
2025-9-26,10,OTM,0.02,1.3928653509140214,5
2025-10-10,10,OTM,0.0,1.8038773617681982,4
2025-10-10,10,OTM,0.02,1.9189499592971477,4
2025-10-17,10,OTM,0.0,1.9655948618052688,5
2025-10-17,10,OTM,0.02,2.2071491721012007,5
2025-10-24,10,OTM,0.0,2.468034957352873,5
2025-10-24,10,OTM,0.02,2.6911115008856714,5
2025-10-31,10,OTM,0.0,8.384221929511115,5
2025-10-31,10,OTM,0.02,8.7571734869692,5
2025-11-14,10,OTM,0.0,6.838252194867779,5
2025-11-14,10,OTM,0.02,6.917129532208116,5
2025-11-21,10,OTM,0.0,4.573747217014119,5
2025-11-21,10,OTM,0.02,4.689940451413747,5
2025-11-28,10,OTM,0.0,10.305818073415502,5
2025-11-28,10,OTM,0.02,10.61763483550693,5
2025-9-12,10,ITM,0.0,3.3696969041848486,4
2025-9-12,10,ITM,0.02,3.690066500685447,4
2025-9-19,10,ITM,0.0,2.055721800801314,5
2025-9-19,10,ITM,0.02,2.2382035479898974,5
2025-9-26,10,ITM,0.0,4.0557280516484235,5
2025-9-26,10,ITM,0.02,4.3084945507356505,5
2025-10-10,10,ITM,0.0,2.215033583922215,4
2025-10-10,10,ITM,0.02,2.2628088176723464,4
2025-10-17,10,ITM,0.0,3.5409437747076478,5
2025-10-17,10,ITM,0.02,4.321339055203305,5
2025-10-24,10,ITM,0.0,3.211037074852666,5
2025-10-24,10,ITM,0.02,4.118101315351627,5
2025-10-31,10,ITM,0.0,11.208483935266278,5
2025-10-31,10,ITM,0.02,13.144544165652933,5
2025-11-14,10,ITM,0.0,11.683195984274168,5
2025-11-14,10,ITM,0.02,12.463231416651949,5
2025-11-21,10,ITM,0.0,12.13628669995838,5
2025-11-21,10,ITM,0.02,12.574539664273722,5
2025-11-28,10,ITM,0.0,10.621463152403084,5
2025-11-28,10,ITM,0.02,12.317466812885595,5
