maturity,interval_days,strike_type,brokerage_fee,mse,iterations
2025-09-26,1,ATM,0.05,0.15747163407004713,20
2025-09-26,1,ATM,0.05,0.8466197347747279,18
2025-10-31,1,ATM,0.05,0.8696410408369575,18
2025-09-26,1,OTM,0.05,0.6268642961122692,20
2025-09-26,1,OTM,0.05,0.6810286229150977,18
2025-10-31,1,OTM,0.05,3993.347604420974,18
2025-09-26,1,ITM,0.05,0.02826572978169718,20
2025-09-26,1,ITM,0.05,0.045271700388102645,18
2025-10-31,1,ITM,0.05,0.7798934735565672,18
2025-09-26,2,ATM,0.05,0.6910842435854726,11
2025-09-26,2,ATM,0.05,8.097301147040728,10
2025-10-31,2,ATM,0.05,7.198802530718315,10
2025-09-26,2,OTM,0.05,8.867772573015854,11
2025-09-26,2,OTM,0.05,9.735534714661812,10
2025-10-31,2,OTM,0.05,9.967174800340068,10
2025-09-26,2,ITM,0.05,0.17140638916987322,11
2025-09-26,2,ITM,0.05,0.18604613821899102,10
2025-10-31,2,ITM,0.05,5.995872129268918,10
2025-09-26,7,ATM,0.05,1.2377203343748762,4
2025-09-26,7,ATM,0.05,8.932868996987423,4
2025-10-31,7,ATM,0.05,9.900223571450752,4
2025-09-26,7,OTM,0.05,8.946059241197943,4
2025-09-26,7,OTM,0.05,11.577206755282845,4
2025-10-31,7,OTM,0.05,18.070836213740616,4
2025-09-26,7,ITM,0.05,0.46016628623335276,4
2025-09-26,7,ITM,0.05,0.16880593528054816,4
2025-10-31,7,ITM,0.05,6.981373150173051,4
2025-09-26,10,ATM,0.05,1.0493458893219068,3
2025-09-26,10,ATM,0.05,12.69293447425196,3
2025-10-31,10,ATM,0.05,28.637317338652842,3
2025-09-26,10,OTM,0.05,9.490822765994995,3
2025-09-26,10,OTM,0.05,20.110986857925738,3
2025-10-31,10,OTM,0.05,99.45398780785936,3
2025-09-26,10,ITM,0.05,0.40581207341918546,3
2025-09-26,10,ITM,0.05,0.22512099447007752,3
2025-10-31,10,ITM,0.05,15.280241317087299,3
